time,balance,datetime
1775664000,501.0,2026-04-08 16:00:00
1775664900,501.0,2026-04-08 16:15:00
1775665800,501.0,2026-04-08 16:30:00
1775666700,501.0,2026-04-08 16:45:00
1775667600,501.0,2026-04-08 17:00:00
1775668500,501.0,2026-04-08 17:15:00
1775669400,501.0,2026-04-08 17:30:00
1775670300,501.0,2026-04-08 17:45:00
1775671200,501.0,2026-04-08 18:00:00
1775672100,501.0,2026-04-08 18:15:00
1775674800,501.0,2026-04-08 19:00:00
1775675700,501.0,2026-04-08 19:15:00
1775676600,501.0,2026-04-08 19:30:00
1775677500,501.0,2026-04-08 19:45:00
1775678400,501.0,2026-04-08 20:00:00
1775679300,506.0,2026-04-08 20:15:00
1775680200,506.0,2026-04-08 20:30:00
1775682000,506.0,2026-04-08 21:00:00
1775683800,506.0,2026-04-08 21:30:00
1775684700,506.0,2026-04-08 21:45:00
1775685600,506.0,2026-04-08 22:00:00
1775687400,506.0,2026-04-08 22:30:00
1775688300,506.0,2026-04-08 22:45:00
1775689200,506.0,2026-04-08 23:00:00
1775690100,506.0,2026-04-08 23:15:00
1775691000,506.0,2026-04-08 23:30:00
1775691900,506.0,2026-04-08 23:45:00
1775694600,506.0,2026-04-09 00:30:00
1775695500,506.0,2026-04-09 00:45:00
1775696400,506.0,2026-04-09 01:00:00
1775697300,506.0,2026-04-09 01:15:00
1775698200,506.0,2026-04-09 01:30:00
1775700900,506.0,2026-04-09 02:15:00
1775701800,506.0,2026-04-09 02:30:00
1775702700,506.0,2026-04-09 02:45:00
1775703600,506.0,2026-04-09 03:00:00
1775704500,506.0,2026-04-09 03:15:00
1775706300,506.0,2026-04-09 03:45:00
1775707200,506.0,2026-04-09 04:00:00
1775709900,506.0,2026-04-09 04:45:00
1775710800,506.0,2026-04-09 05:00:00
1775711700,506.0,2026-04-09 05:15:00
1775713500,506.0,2026-04-09 05:45:00
1775714400,506.0,2026-04-09 06:00:00
1775715300,506.0,2026-04-09 06:15:00
1775717100,506.0,2026-04-09 06:45:00
1775718900,506.0,2026-04-09 07:15:00
1775719800,506.0,2026-04-09 07:30:00
1775721600,506.0,2026-04-09 08:00:00
1775722500,506.0,2026-04-09 08:15:00
1775723400,506.0,2026-04-09 08:30:00
1775725200,506.0,2026-04-09 09:00:00
1775726100,506.0,2026-04-09 09:15:00
1775727000,506.0,2026-04-09 09:30:00
1775729700,506.0,2026-04-09 10:15:00
1775730600,506.0,2026-04-09 10:30:00
1775733300,506.0,2026-04-09 11:15:00
